roundId,playerAddressHash,timestamp,x,y,ts
1761538285288_sz23cp66s,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:30.264Z,348,369,1761538289828
1761538285288_sz23cp66s,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:30.264Z,322,374,1761538290035
1761538285288_sz23cp66s,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:30.264Z,310,345,1761538290094
1761538285288_sz23cp66s,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:30.264Z,286,352,1761538290144
1761538285288_sz23cp66s,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:30.264Z,259,384,1761538290194
1761538285288_sz23cp66s,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:30.264Z,227,424,1761538290244
1761538296104_wwmys7nef,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:40.563Z,333,568,1761538297197
1761538296104_wwmys7nef,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:40.563Z,234,436,1761538297260
1761538296104_wwmys7nef,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:40.563Z,232,434,1761538297407
1761538296104_wwmys7nef,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:40.563Z,240,435,1761538297462
1761538296104_wwmys7nef,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:40.563Z,236,452,1761538297528
1761538296104_wwmys7nef,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:40.563Z,181,423,1761538297578
1761538296104_wwmys7nef,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:11:40.563Z,1,375,1761538297630
1761538300317_7fpexm4xv,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:11:49.157Z,361,450,1761538305794
1761538310871_ize8rtjuy,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:11:58.902Z,276,439,1761538315294
1761538315059_6e7oaapgu,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:12:00.701Z,56,425,1761538315077
1761538315059_6e7oaapgu,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:12:00.701Z,12,422,1761538315127
1761538312706_cq793b1pg,387307857eabf959fce6a366ceea1515,2025-10-27T04:12:07.989Z,418,445,1761538315394
1761538339554_hrif7ntqx,387307857eabf959fce6a366ceea1515,2025-10-27T04:12:33.885Z,14,727,1761538346528
1761538339554_hrif7ntqx,387307857eabf959fce6a366ceea1515,2025-10-27T04:12:33.885Z,448,727,1761538347187
1761538355506_6zy6e1ob2,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:12:42.964Z,1,519,1761538359812
1761538355506_6zy6e1ob2,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:12:42.964Z,1,469,1761538360098
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,510,586,1761538373561
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,459,558,1761538373642
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,457,558,1761538373745
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,441,537,1761538373810
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,417,482,1761538373860
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,380,434,1761538373910
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,364,435,1761538373960
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,354,439,1761538374010
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,354,439,1761538374142
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,354,440,1761538375323
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,336,421,1761538375377
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,313,406,1761538375427
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,292,382,1761538375477
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,264,364,1761538375527
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,217,337,1761538375577
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,159,304,1761538375627
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,153,297,1761538375819
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,158,307,1761538375877
1761538372679_ykiwprwwd,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:12:57.658Z,159,309,1761538375950
1761538403045_5pwd1yife,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:13:27.776Z,482,832,1761538403844
1761538405934_ezmxtjmt2,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:13:33.003Z,5,306,1761538407311
1761538405934_ezmxtjmt2,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:13:33.003Z,3,581,1761538409711
1761538405934_ezmxtjmt2,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:13:33.003Z,332,425,1761538410411
1761538405934_ezmxtjmt2,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:13:33.003Z,5,834,1761538411327
1761538405934_ezmxtjmt2,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:13:33.003Z,2,776,1761538411994
1761538423962_l9xwoj0ns,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:13:49.573Z,122,761,1761538425612
1761538423962_l9xwoj0ns,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:13:49.573Z,174,624,1761538425677
1761538423962_l9xwoj0ns,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:13:49.573Z,203,566,1761538425727
1761538423962_l9xwoj0ns,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:13:49.573Z,209,561,1761538425785
1761538423962_l9xwoj0ns,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:13:49.573Z,206,573,1761538425844
1761538423962_l9xwoj0ns,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:13:49.573Z,213,597,1761538425894
1761538423962_l9xwoj0ns,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:13:49.573Z,217,606,1761538426152
1761538444163_smhj9mqf8,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:14:09.495Z,217,606,1761538446887
1761538566377_z488kzhag,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:16:15.567Z,711,567,1761538574178
1761538566377_z488kzhag,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:16:15.567Z,526,353,1761538574243
1761538566377_z488kzhag,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:16:15.567Z,526,353,1761538574316
1761538566377_z488kzhag,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:16:15.567Z,520,350,1761538574377
1761538566377_z488kzhag,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:16:15.567Z,501,337,1761538574427
1761538566377_z488kzhag,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:16:15.567Z,465,342,1761538574477
1761538566377_z488kzhag,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:16:15.567Z,385,383,1761538574527
1761538566377_z488kzhag,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T04:16:15.567Z,148,424,1761538574577
1761538573321_duzbd8jk9,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:16:20.323Z,479,586,1761538574777
1761538573321_duzbd8jk9,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:16:20.323Z,57,820,1761538578312
1761538573321_duzbd8jk9,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:16:20.323Z,59,777,1761538578377
1761538573321_duzbd8jk9,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:16:20.323Z,54,749,1761538578427
1761538573321_duzbd8jk9,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:16:20.323Z,53,741,1761538578478
1761538573321_duzbd8jk9,75c26a071d7a0cd05248d37f3136a6af,2025-10-27T04:16:20.323Z,53,741,1761538578696
